******************ready_q****************************
('id : ', 6383, 'cpu :', 5, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6384, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6385, 'cpu :', 5, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6386, 'cpu :', 4, 'io : ', 8, 'wait_time : ', 0)
('id : ', 6387, 'cpu :', 7, 'io : ', 6, 'wait_time : ', 0)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 0)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 0)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 0)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 0)
******************wait_q****************************



******************ready_q****************************
('id : ', 6383, 'cpu :', 4.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6384, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 1)
('id : ', 6385, 'cpu :', 5, 'io : ', 7, 'wait_time : ', 1)
('id : ', 6386, 'cpu :', 4, 'io : ', 8, 'wait_time : ', 1)
('id : ', 6387, 'cpu :', 7, 'io : ', 6, 'wait_time : ', 1)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 1)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 1)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 1)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 1)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 1)
******************wait_q****************************



******************ready_q****************************
('id : ', 6383, 'cpu :', 3.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6384, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 2)
('id : ', 6385, 'cpu :', 5, 'io : ', 7, 'wait_time : ', 2)
('id : ', 6386, 'cpu :', 4, 'io : ', 8, 'wait_time : ', 2)
('id : ', 6387, 'cpu :', 7, 'io : ', 6, 'wait_time : ', 2)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 2)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 2)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 2)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 2)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 2)
******************wait_q****************************



******************ready_q****************************
('id : ', 6383, 'cpu :', 2.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6384, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 3)
('id : ', 6385, 'cpu :', 5, 'io : ', 7, 'wait_time : ', 3)
('id : ', 6386, 'cpu :', 4, 'io : ', 8, 'wait_time : ', 3)
('id : ', 6387, 'cpu :', 7, 'io : ', 6, 'wait_time : ', 3)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 3)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 3)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 3)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 3)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6383, 'cpu :', 1.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6384, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 4)
('id : ', 6385, 'cpu :', 5, 'io : ', 7, 'wait_time : ', 4)
('id : ', 6386, 'cpu :', 4, 'io : ', 8, 'wait_time : ', 4)
('id : ', 6387, 'cpu :', 7, 'io : ', 6, 'wait_time : ', 4)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 4)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 4)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 4)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 4)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 4)
******************wait_q****************************



******************ready_q****************************
('id : ', 6384, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 4)
('id : ', 6385, 'cpu :', 5, 'io : ', 7, 'wait_time : ', 6)
('id : ', 6386, 'cpu :', 4, 'io : ', 8, 'wait_time : ', 6)
('id : ', 6387, 'cpu :', 7, 'io : ', 6, 'wait_time : ', 6)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 6)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 6)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 6)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 6)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 6)
******************wait_q****************************
('id : ', 6383, 'cpu :', 0.0, 'io :', 6.0)



******************ready_q****************************
('id : ', 6384, 'cpu :', 7.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6385, 'cpu :', 5, 'io : ', 7, 'wait_time : ', 8)
('id : ', 6386, 'cpu :', 4, 'io : ', 8, 'wait_time : ', 8)
('id : ', 6387, 'cpu :', 7, 'io : ', 6, 'wait_time : ', 8)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 8)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 8)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 8)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 8)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 8)
******************wait_q****************************
('id : ', 6383, 'cpu :', 0.0, 'io :', 5.0)



******************ready_q****************************
('id : ', 6384, 'cpu :', 6.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6385, 'cpu :', 5, 'io : ', 7, 'wait_time : ', 10)
('id : ', 6386, 'cpu :', 4, 'io : ', 8, 'wait_time : ', 10)
('id : ', 6387, 'cpu :', 7, 'io : ', 6, 'wait_time : ', 10)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 10)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 10)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 10)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 10)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 10)
******************wait_q****************************
('id : ', 6383, 'cpu :', 0.0, 'io :', 4.0)



******************ready_q****************************
('id : ', 6384, 'cpu :', 5.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6385, 'cpu :', 5, 'io : ', 7, 'wait_time : ', 12)
('id : ', 6386, 'cpu :', 4, 'io : ', 8, 'wait_time : ', 12)
('id : ', 6387, 'cpu :', 7, 'io : ', 6, 'wait_time : ', 12)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 12)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 12)
