******************ready_q****************************
('id : ', 6466, 'cpu :', 6, 'io : ', 5, 'ratio : ', 1)
('id : ', 6467, 'cpu :', 6, 'io : ', 3, 'ratio : ', 1)
('id : ', 6468, 'cpu :', 8, 'io : ', 5, 'ratio : ', 1)
('id : ', 6469, 'cpu :', 7, 'io : ', 3, 'ratio : ', 1)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 1)
('id : ', 6471, 'cpu :', 8, 'io : ', 4, 'ratio : ', 1)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 1)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 1)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 1)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 1)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 5.0, 'io : ', 5, 'ratio : ', 1.0)
('id : ', 6467, 'cpu :', 6, 'io : ', 3, 'ratio : ', 1)
('id : ', 6468, 'cpu :', 8, 'io : ', 5, 'ratio : ', 1)
('id : ', 6469, 'cpu :', 7, 'io : ', 3, 'ratio : ', 1)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 1)
('id : ', 6471, 'cpu :', 8, 'io : ', 4, 'ratio : ', 1)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 1)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 1)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 1)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 1)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 4.0, 'io : ', 5, 'ratio : ', 1.0)
('id : ', 6467, 'cpu :', 6, 'io : ', 3, 'ratio : ', 1)
('id : ', 6468, 'cpu :', 8, 'io : ', 5, 'ratio : ', 1)
('id : ', 6469, 'cpu :', 7, 'io : ', 3, 'ratio : ', 1)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 1)
('id : ', 6471, 'cpu :', 8, 'io : ', 4, 'ratio : ', 1)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 1)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 1)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 1)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 1)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 3.0, 'io : ', 5, 'ratio : ', 1.0)
('id : ', 6467, 'cpu :', 6, 'io : ', 3, 'ratio : ', 1)
('id : ', 6468, 'cpu :', 8, 'io : ', 5, 'ratio : ', 1)
('id : ', 6469, 'cpu :', 7, 'io : ', 3, 'ratio : ', 1)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 1)
('id : ', 6471, 'cpu :', 8, 'io : ', 4, 'ratio : ', 1)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 1)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 1)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 1)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 1)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 2.0, 'io : ', 5, 'ratio : ', 1.0)
('id : ', 6467, 'cpu :', 6, 'io : ', 3, 'ratio : ', 1)
('id : ', 6468, 'cpu :', 8, 'io : ', 5, 'ratio : ', 1)
('id : ', 6469, 'cpu :', 7, 'io : ', 3, 'ratio : ', 1)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 1)
('id : ', 6471, 'cpu :', 8, 'io : ', 4, 'ratio : ', 1)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 2)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 2)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 1)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 1)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 1.0, 'io : ', 5, 'ratio : ', 1.0)
('id : ', 6467, 'cpu :', 6, 'io : ', 3, 'ratio : ', 1)
('id : ', 6468, 'cpu :', 8, 'io : ', 5, 'ratio : ', 1)
('id : ', 6469, 'cpu :', 7, 'io : ', 3, 'ratio : ', 1)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 2)
('id : ', 6471, 'cpu :', 8, 'io : ', 4, 'ratio : ', 1)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 2)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 2)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 1)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 1)
******************wait_q****************************



******************ready_q****************************
('id : ', 6467, 'cpu :', 6, 'io : ', 3, 'ratio : ', 1)
('id : ', 6468, 'cpu :', 8, 'io : ', 5, 'ratio : ', 1)
('id : ', 6469, 'cpu :', 7, 'io : ', 3, 'ratio : ', 1)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 2)
('id : ', 6471, 'cpu :', 8, 'io : ', 4, 'ratio : ', 1)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 2)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 2)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 2)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 1)
******************wait_q****************************
('id : ', 6466, 'cpu :', 0.0, 'io :', 4.0)



******************ready_q****************************
('id : ', 6468, 'cpu :', 8, 'io : ', 5, 'ratio : ', 1)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 2.2)
('id : ', 6469, 'cpu :', 7, 'io : ', 3, 'ratio : ', 2)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 2)
