******************ready_q****************************
('id : ', 6912, 'cpu :', 4, 'io : ', 6, 'wait_time :', 0)
('id : ', 6913, 'cpu :', 7, 'io : ', 6, 'wait_time :', 0)
('id : ', 6914, 'cpu :', 8, 'io : ', 7, 'wait_time :', 0)
('id : ', 6915, 'cpu :', 5, 'io : ', 6, 'wait_time :', 0)
('id : ', 6916, 'cpu :', 5, 'io : ', 5, 'wait_time :', 0)
('id : ', 6917, 'cpu :', 5, 'io : ', 8, 'wait_time :', 0)
('id : ', 6919, 'cpu :', 7, 'io : ', 5, 'wait_time :', 0)
('id : ', 6920, 'cpu :', 7, 'io : ', 4, 'wait_time :', 0)
('id : ', 6921, 'cpu :', 7, 'io : ', 8, 'wait_time :', 0)
('id : ', 6922, 'cpu :', 7, 'io : ', 5, 'wait_time :', 0)
******************wait_q****************************



******************ready_q****************************
('id : ', 6912, 'cpu :', 3.0, 'io : ', 6, 'wait_time :', 0)
('id : ', 6913, 'cpu :', 7, 'io : ', 6, 'wait_time :', 1)
('id : ', 6914, 'cpu :', 8, 'io : ', 7, 'wait_time :', 1)
('id : ', 6915, 'cpu :', 5, 'io : ', 6, 'wait_time :', 1)
('id : ', 6916, 'cpu :', 5, 'io : ', 5, 'wait_time :', 1)
('id : ', 6917, 'cpu :', 5, 'io : ', 8, 'wait_time :', 1)
('id : ', 6919, 'cpu :', 7, 'io : ', 5, 'wait_time :', 1)
('id : ', 6920, 'cpu :', 7, 'io : ', 4, 'wait_time :', 1)
('id : ', 6921, 'cpu :', 7, 'io : ', 8, 'wait_time :', 1)
('id : ', 6922, 'cpu :', 7, 'io : ', 5, 'wait_time :', 1)
******************wait_q****************************



******************ready_q****************************
('id : ', 6912, 'cpu :', 2.0, 'io : ', 6, 'wait_time :', 0)
('id : ', 6913, 'cpu :', 7, 'io : ', 6, 'wait_time :', 2)
('id : ', 6914, 'cpu :', 8, 'io : ', 7, 'wait_time :', 2)
('id : ', 6915, 'cpu :', 5, 'io : ', 6, 'wait_time :', 2)
('id : ', 6916, 'cpu :', 5, 'io : ', 5, 'wait_time :', 2)
('id : ', 6917, 'cpu :', 5, 'io : ', 8, 'wait_time :', 2)
('id : ', 6919, 'cpu :', 7, 'io : ', 5, 'wait_time :', 2)
('id : ', 6920, 'cpu :', 7, 'io : ', 4, 'wait_time :', 2)
('id : ', 6921, 'cpu :', 7, 'io : ', 8, 'wait_time :', 2)
('id : ', 6922, 'cpu :', 7, 'io : ', 5, 'wait_time :', 2)
******************wait_q****************************



******************ready_q****************************
('id : ', 6912, 'cpu :', 1.0, 'io : ', 6, 'wait_time :', 0)
('id : ', 6913, 'cpu :', 7, 'io : ', 6, 'wait_time :', 3)
('id : ', 6914, 'cpu :', 8, 'io : ', 7, 'wait_time :', 3)
('id : ', 6915, 'cpu :', 5, 'io : ', 6, 'wait_time :', 3)
('id : ', 6916, 'cpu :', 5, 'io : ', 5, 'wait_time :', 3)
('id : ', 6917, 'cpu :', 5, 'io : ', 8, 'wait_time :', 3)
('id : ', 6919, 'cpu :', 7, 'io : ', 5, 'wait_time :', 3)
('id : ', 6920, 'cpu :', 7, 'io : ', 4, 'wait_time :', 3)
('id : ', 6921, 'cpu :', 7, 'io : ', 8, 'wait_time :', 3)
('id : ', 6922, 'cpu :', 7, 'io : ', 5, 'wait_time :', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6915, 'cpu :', 5, 'io : ', 6, 'wait_time :', 3)
('id : ', 6913, 'cpu :', 7, 'io : ', 6, 'wait_time :', 4)
('id : ', 6914, 'cpu :', 8, 'io : ', 7, 'wait_time :', 4)
('id : ', 6916, 'cpu :', 5, 'io : ', 5, 'wait_time :', 4)
('id : ', 6917, 'cpu :', 5, 'io : ', 8, 'wait_time :', 4)
('id : ', 6919, 'cpu :', 7, 'io : ', 5, 'wait_time :', 4)
('id : ', 6920, 'cpu :', 7, 'io : ', 4, 'wait_time :', 4)
('id : ', 6921, 'cpu :', 7, 'io : ', 8, 'wait_time :', 4)
('id : ', 6922, 'cpu :', 7, 'io : ', 5, 'wait_time :', 4)
******************wait_q****************************
('id : ', 6912, 'cpu :', 0.0, 'io :', 5.0)



******************ready_q****************************
('id : ', 6915, 'cpu :', 4.0, 'io : ', 6, 'wait_time :', 0)
('id : ', 6913, 'cpu :', 7, 'io : ', 6, 'wait_time :', 5)
('id : ', 6914, 'cpu :', 8, 'io : ', 7, 'wait_time :', 5)
('id : ', 6916, 'cpu :', 5, 'io : ', 5, 'wait_time :', 5)
('id : ', 6917, 'cpu :', 5, 'io : ', 8, 'wait_time :', 5)
('id : ', 6919, 'cpu :', 7, 'io : ', 5, 'wait_time :', 5)
('id : ', 6920, 'cpu :', 7, 'io : ', 4, 'wait_time :', 5)
('id : ', 6921, 'cpu :', 7, 'io : ', 8, 'wait_time :', 5)
('id : ', 6922, 'cpu :', 7, 'io : ', 5, 'wait_time :', 5)
******************wait_q****************************
