******************ready_q****************************
('id : ', 7007, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 0)
('id : ', 7008, 'cpu :', 8, 'io : ', 8, 'wait_time : ', 0)
('id : ', 7009, 'cpu :', 5, 'io : ', 4, 'wait_time : ', 0)
('id : ', 7010, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 0)
('id : ', 7011, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 0)
('id : ', 7012, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 0)
('id : ', 7013, 'cpu :', 4, 'io : ', 7, 'wait_time : ', 0)
('id : ', 7014, 'cpu :', 4, 'io : ', 7, 'wait_time : ', 0)
('id : ', 7015, 'cpu :', 4, 'io : ', 6, 'wait_time : ', 0)
('id : ', 7016, 'cpu :', 7, 'io : ', 5, 'wait_time : ', 0)
******************wait_q****************************



******************ready_q****************************
('id : ', 7007, 'cpu :', 5.0, 'io : ', 6, 'wait_time : ', 0)
('id : ', 7008, 'cpu :', 8, 'io : ', 8, 'wait_time : ', 1)
('id : ', 7009, 'cpu :', 5, 'io : ', 4, 'wait_time : ', 1)
('id : ', 7010, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 1)
('id : ', 7011, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 1)
('id : ', 7012, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 1)
('id : ', 7013, 'cpu :', 4, 'io : ', 7, 'wait_time : ', 1)
('id : ', 7014, 'cpu :', 4, 'io : ', 7, 'wait_time : ', 1)
('id : ', 7015, 'cpu :', 4, 'io : ', 6, 'wait_time : ', 1)
('id : ', 7016, 'cpu :', 7, 'io : ', 5, 'wait_time : ', 1)
******************wait_q****************************



******************ready_q****************************
('id : ', 7007, 'cpu :', 4.0, 'io : ', 6, 'wait_time : ', 0)
('id : ', 7008, 'cpu :', 8, 'io : ', 8, 'wait_time : ', 2)
('id : ', 7009, 'cpu :', 5, 'io : ', 4, 'wait_time : ', 2)
('id : ', 7010, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 2)
('id : ', 7011, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 2)
('id : ', 7012, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 2)
('id : ', 7013, 'cpu :', 4, 'io : ', 7, 'wait_time : ', 2)
('id : ', 7014, 'cpu :', 4, 'io : ', 7, 'wait_time : ', 2)
('id : ', 7015, 'cpu :', 4, 'io : ', 6, 'wait_time : ', 2)
('id : ', 7016, 'cpu :', 7, 'io : ', 5, 'wait_time : ', 2)
******************wait_q****************************



******************ready_q****************************
('id : ', 7007, 'cpu :', 3.0, 'io : ', 6, 'wait_time : ', 0)
('id : ', 7008, 'cpu :', 8, 'io : ', 8, 'wait_time : ', 3)
('id : ', 7009, 'cpu :', 5, 'io : ', 4, 'wait_time : ', 3)
('id : ', 7010, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 3)
('id : ', 7011, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 3)
('id : ', 7012, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 3)
('id : ', 7013, 'cpu :', 4, 'io : ', 7, 'wait_time : ', 3)
('id : ', 7014, 'cpu :', 4, 'io : ', 7, 'wait_time : ', 3)
