child 10064 created, exec 1012, timing 792
child 10065 created, exec 894, timing 244
child 10066 created, exec 995, timing 989
child 10067 created, exec 1185, timing 850
child 10068 created, exec 569, timing 290
child 10069 created, exec 775, timing 495
child 10070 created, exec 1471, timing 975
child 10071 created, exec 828, timing 234
child 10072 created, exec 765, timing 533
child 10073 created, exec 1402, timing 979
total cpu burst time is 9896
RUN _Q(10064) count: 1, tq: 30.
RUN _Q(10064) count: 2, tq: 29.
RUN _Q(10064) count: 3, tq: 28.
RUN _Q(10064) count: 4, tq: 27.
RUN _Q(10064) count: 5, tq: 26.
RUN _Q(10064) count: 6, tq: 25.
RUN _Q(10064) count: 7, tq: 24.
RUN _Q(10064) count: 8, tq: 23.
RUN _Q(10064) count: 9, tq: 22.
RUN _Q(10064) count: 10, tq: 21.
RUN _Q(10064) count: 11, tq: 20.
RUN _Q(10064) count: 12, tq: 19.
RUN _Q(10064) count: 13, tq: 18.
RUN _Q(10064) count: 14, tq: 17.
RUN _Q(10064) count: 15, tq: 16.
RUN _Q(10064) count: 16, tq: 15.
RUN _Q(10064) count: 17, tq: 14.
RUN _Q(10064) count: 18, tq: 13.
RUN _Q(10064) count: 19, tq: 12.
RUN _Q(10064) count: 20, tq: 11.
RUN _Q(10064) count: 21, tq: 10.
RUN _Q(10064) count: 22, tq: 9.
RUN _Q(10064) count: 23, tq: 8.
RUN _Q(10064) count: 24, tq: 7.
RUN _Q(10064) count: 25, tq: 6.
RUN _Q(10064) count: 26, tq: 5.
RUN _Q(10064) count: 27, tq: 4.
RUN _Q(10064) count: 28, tq: 3.
RUN _Q(10064) count: 29, tq: 2.
RUN _Q(10064) count: 30, tq: 1.
RUN _Q(10064) count: 31, tq: 0. go to end
RUN _Q(10065) count: 32, tq: 30.
RUN _Q(10065) count: 33, tq: 29.
RUN _Q(10065) count: 34, tq: 28.
RUN _Q(10065) count: 35, tq: 27.
RUN _Q(10065) count: 36, tq: 26.
RUN _Q(10065) count: 37, tq: 25.
RUN _Q(10065) count: 38, tq: 24.
RUN _Q(10065) count: 39, tq: 23.
RUN _Q(10065) count: 40, tq: 22.
RUN _Q(10065) count: 41, tq: 21.
RUN _Q(10065) count: 42, tq: 20.
RUN _Q(10065) count: 43, tq: 19.
RUN _Q(10065) count: 44, tq: 18.
RUN _Q(10065) count: 45, tq: 17.
RUN _Q(10065) count: 46, tq: 16.
RUN _Q(10065) count: 47, tq: 15.
RUN _Q(10065) count: 48, tq: 14.
RUN _Q(10065) count: 49, tq: 13.
RUN _Q(10065) count: 50, tq: 12.
RUN _Q(10065) count: 51, tq: 11.
RUN _Q(10065) count: 52, tq: 10.
RUN _Q(10065) count: 53, tq: 9.
RUN _Q(10065) count: 54, tq: 8.
RUN _Q(10065) count: 55, tq: 7.
RUN _Q(10065) count: 56, tq: 6.
RUN _Q(10065) count: 57, tq: 5.
RUN _Q(10065) count: 58, tq: 4.
RUN _Q(10065) count: 59, tq: 3.
RUN _Q(10065) count: 60, tq: 2.
RUN _Q(10065) count: 61, tq: 1.
RUN _Q(10065) count: 62, tq: 0. go to end
RUN _Q(10066) count: 63, tq: 30.
RUN _Q(10066) count: 64, tq: 29.
RUN _Q(10066) count: 65, tq: 28.
RUN _Q(10066) count: 66, tq: 27.
RUN _Q(10066) count: 67, tq: 26.
RUN _Q(10066) count: 68, tq: 25.
RUN _Q(10066) count: 69, tq: 24.
RUN _Q(10066) count: 70, tq: 23.
RUN _Q(10066) count: 71, tq: 22.
RUN _Q(10066) count: 72, tq: 21.
RUN _Q(10066) count: 73, tq: 20.
RUN _Q(10066) count: 74, tq: 19.
RUN _Q(10066) count: 75, tq: 18.
RUN _Q(10066) count: 76, tq: 17.
RUN _Q(10066) count: 77, tq: 16.
RUN _Q(10066) count: 78, tq: 15.
RUN _Q(10066) count: 79, tq: 14.
RUN _Q(10066) count: 80, tq: 13.
RUN _Q(10066) count: 81, tq: 12.
RUN _Q(10066) count: 82, tq: 11.
RUN _Q(10066) count: 83, tq: 10.
RUN _Q(10066) count: 84, tq: 9.
RUN _Q(10066) count: 85, tq: 8.
RUN _Q(10066) count: 86, tq: 7.
RUN _Q(10066) count: 87, tq: 6.
RUN _Q(10066) count: 88, tq: 5.
RUN _Q(10066) count: 89, tq: 4.
RUN _Q(10066) count: 90, tq: 3.
RUN _Q(10066) count: 91, tq: 2.
RUN _Q(10066) count: 92, tq: 1.
RUN _Q(10066) count: 93, tq: 0. go to end
RUN _Q(10067) count: 94, tq: 30.
RUN _Q(10067) count: 95, tq: 29.
RUN _Q(10067) count: 96, tq: 28.
RUN _Q(10067) count: 97, tq: 27.
RUN _Q(10067) count: 98, tq: 26.
RUN _Q(10067) count: 99, tq: 25.
RUN _Q(10067) count: 100, tq: 24.
RUN _Q(10067) count: 101, tq: 23.
RUN _Q(10067) count: 102, tq: 22.
RUN _Q(10067) count: 103, tq: 21.
RUN _Q(10067) count: 104, tq: 20.
RUN _Q(10067) count: 105, tq: 19.
RUN _Q(10067) count: 106, tq: 18.
RUN _Q(10067) count: 107, tq: 17.
RUN _Q(10067) count: 108, tq: 16.
RUN _Q(10067) count: 109, tq: 15.
RUN _Q(10067) count: 110, tq: 14.
RUN _Q(10067) count: 111, tq: 13.
RUN _Q(10067) count: 112, tq: 12.
RUN _Q(10067) count: 113, tq: 11.
RUN _Q(10067) count: 114, tq: 10.
RUN _Q(10067) count: 115, tq: 9.
RUN _Q(10067) count: 116, tq: 8.
RUN _Q(10067) count: 117, tq: 7.
RUN _Q(10067) count: 118, tq: 6.
RUN _Q(10067) count: 119, tq: 5.
RUN _Q(10067) count: 120, tq: 4.
RUN _Q(10067) count: 121, tq: 3.
RUN _Q(10067) count: 122, tq: 2.
RUN _Q(10067) count: 123, tq: 1.
RUN _Q(10067) count: 124, tq: 0. go to end
RUN _Q(10068) count: 125, tq: 30.
RUN _Q(10068) count: 126, tq: 29.
RUN _Q(10068) count: 127, tq: 28.
RUN _Q(10068) count: 128, tq: 27.
RUN _Q(10068) count: 129, tq: 26.
RUN _Q(10068) count: 130, tq: 25.
RUN _Q(10068) count: 131, tq: 24.
RUN _Q(10068) count: 132, tq: 23.
RUN _Q(10068) count: 133, tq: 22.
RUN _Q(10068) count: 134, tq: 21.
RUN _Q(10068) count: 135, tq: 20.
RUN _Q(10068) count: 136, tq: 19.
RUN _Q(10068) count: 137, tq: 18.
RUN _Q(10068) count: 138, tq: 17.
RUN _Q(10068) count: 139, tq: 16.
RUN _Q(10068) count: 140, tq: 15.
RUN _Q(10068) count: 141, tq: 14.
RUN _Q(10068) count: 142, tq: 13.
RUN _Q(10068) count: 143, tq: 12.
RUN _Q(10068) count: 144, tq: 11.
RUN _Q(10068) count: 145, tq: 10.
